goos: linux
goarch: amd64
pkg: github.com/qursa-uc3m/dnssec_pqc_plugin/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500T
BenchmarkSign/MAYO-1-12             	   37454	    148739 ns/op	    6264 B/op	      18 allocs/op
BenchmarkSign/MAYO-1-12             	   40077	    144698 ns/op	    6264 B/op	      18 allocs/op
BenchmarkSign/MAYO-1-12             	   38982	    154399 ns/op	    6264 B/op	      18 allocs/op
BenchmarkSign/MAYO-1-12             	   39411	    146708 ns/op	    6264 B/op	      18 allocs/op
BenchmarkSign/MAYO-1-12             	   41990	    148899 ns/op	    6264 B/op	      18 allocs/op
BenchmarkSign/MAYO-1-12             	   40682	    153934 ns/op	    6264 B/op	      18 allocs/op
BenchmarkSign/MAYO-1-12             	   40264	    147936 ns/op	    6264 B/op	      18 allocs/op
BenchmarkSign/MAYO-1-12             	   35559	    151609 ns/op	    6264 B/op	      18 allocs/op
BenchmarkSign/SNOVA-12              	   14491	    408637 ns/op	    5496 B/op	      18 allocs/op
BenchmarkSign/SNOVA-12              	   14707	    433535 ns/op	    5496 B/op	      18 allocs/op
BenchmarkSign/SNOVA-12              	   14365	    411920 ns/op	    5496 B/op	      18 allocs/op
BenchmarkSign/SNOVA-12              	   14056	    411061 ns/op	    5496 B/op	      18 allocs/op
BenchmarkSign/SNOVA-12              	   14562	    416010 ns/op	    5496 B/op	      18 allocs/op
BenchmarkSign/SNOVA-12              	   14827	    402457 ns/op	    5496 B/op	      18 allocs/op
BenchmarkSign/SNOVA-12              	   14107	    417421 ns/op	    5496 B/op	      18 allocs/op
BenchmarkSign/SNOVA-12              	   13450	    412682 ns/op	    5496 B/op	      18 allocs/op
BenchmarkSign/SNOVA-12              	   14290	    409693 ns/op	    5496 B/op	      18 allocs/op
BenchmarkSign/SNOVA-12              	   14476	    404503 ns/op	    5496 B/op	      18 allocs/op
PASS
ok  	github.com/qursa-uc3m/dnssec_pqc_plugin/bench	633.758s
