algorithm,run,ns_per_op
RSA-SHA256,78,1232276.0
RSA-SHA256,79,1197500.0
RSA-SHA256,80,920720.0
RSA-SHA256,81,1436711.0
RSA-SHA256,82,1383565.0
RSA-SHA256,83,1374450.0
RSA-SHA256,84,1026965.0
RSA-SHA256,85,1443444.0
RSA-SHA256,86,1145357.0
RSA-SHA256,87,1354640.0
RSA-SHA256,88,1965345.0
RSA-SHA256,89,1207287.0
RSA-SHA256,90,881393.0
RSA-SHA256,91,1174238.0
RSA-SHA256,92,945729.0
RSA-SHA256,93,869537.0
RSA-SHA256,94,1495388.0
RSA-SHA256,95,842941.0
RSA-SHA256,96,906692.0
RSA-SHA256,97,839763.0
RSA-SHA256,98,856530.0
RSA-SHA256,99,785923.0
Ed25519,0,243526.0
Ed25519,1,88588.0
Ed25519,2,37982.0
Ed25519,3,43677.0
Ed25519,4,105898.0
Ed25519,5,65768.0
Ed25519,6,61740.0
Ed25519,7,43828.0
Ed25519,8,52781.0
Ed25519,9,105273.0
Ed25519,10,48581.0
Ed25519,11,48669.0
Ed25519,12,44594.0
Ed25519,13,60207.0
Ed25519,14,56079.0
Ed25519,15,42905.0
Ed25519,16,49250.0
Ed25519,17,39758.0
Ed25519,18,31123.0
Ed25519,19,64632.0
Ed25519,20,37750.0
Ed25519,21,36969.0
Ed25519,22,58150.0
Ed25519,23,34513.0
Ed25519,24,31773.0
Ed25519,25,38870.0
Ed25519,26,30823.0
Ed25519,27,31401.0
Ed25519,28,37439.0
Ed25519,29,33177.0
Ed25519,30,36420.0
Ed25519,31,36467.0
Ed25519,32,48819.0
Ed25519,33,30507.0
Ed25519,34,46880.0
Ed25519,35,32577.0
Ed25519,36,47149.0
Ed25519,37,53277.0
Ed25519,38,49129.0
Ed25519,39,37642.0
Ed25519,40,31662.0
Ed25519,41,31941.0
Ed25519,42,49297.0
Ed25519,43,35003.0
Ed25519,44,31531.0
Ed25519,45,33134.0
Ed25519,46,28546.0
Ed25519,47,38276.0
Ed25519,48,27306.0
Ed25519,49,30488.0
Ed25519,50,36409.0
Ed25519,51,40143.0
Ed25519,52,28531.0
Ed25519,53,33103.0
Ed25519,54,26142.0
Ed25519,55,30927.0
Ed25519,56,54940.0
Ed25519,57,33859.0
Ed25519,58,34763.0
Ed25519,59,49856.0
Ed25519,60,43325.0
Ed25519,61,42742.0
Ed25519,62,54375.0
Ed25519,63,49525.0
Ed25519,64,40971.0
Ed25519,65,69034.0
Ed25519,66,57612.0
Ed25519,67,34660.0
Ed25519,68,34726.0
Ed25519,69,45358.0
Ed25519,70,37834.0
Ed25519,71,35498.0
Ed25519,72,33571.0
Ed25519,73,33338.0
Ed25519,74,63491.0
Ed25519,75,36097.0
Ed25519,76,31744.0
Ed25519,77,36158.0
Ed25519,78,45961.0
Ed25519,79,39979.0
Ed25519,80,58866.0
Ed25519,81,34961.0
Ed25519,82,33472.0
Ed25519,83,36296.0
Ed25519,84,30545.0
Ed25519,85,35143.0
Ed25519,86,132162.0
Ed25519,87,31774.0
Ed25519,88,33621.0
Ed25519,89,53802.0
Ed25519,90,37195.0
Ed25519,91,28956.0
Ed25519,92,31609.0
Ed25519,93,33140.0
Ed25519,94,29283.0
Ed25519,95,43747.0
Ed25519,96,35342.0
Ed25519,97,28385.0
Ed25519,98,31060.0
Ed25519,99,27139.0
ECDSA-P256,0,148066.0
ECDSA-P256,1,92763.0
ECDSA-P256,2,78586.0
ECDSA-P256,3,65862.0
ECDSA-P256,4,78085.0
ECDSA-P256,5,49900.0
ECDSA-P256,6,178373.0
ECDSA-P256,7,46912.0
ECDSA-P256,8,68889.0
ECDSA-P256,9,57191.0
ECDSA-P256,10,40254.0
ECDSA-P256,11,43355.0
ECDSA-P256,12,73589.0
ECDSA-P256,13,76266.0
ECDSA-P256,14,50421.0
ECDSA-P256,15,61132.0
ECDSA-P256,16,47450.0
ECDSA-P256,17,65301.0
ECDSA-P256,18,48208.0
ECDSA-P256,19,53737.0
ECDSA-P256,20,46523.0
ECDSA-P256,21,64010.0
ECDSA-P256,22,60028.0
ECDSA-P256,23,59014.0
ECDSA-P256,24,67331.0
ECDSA-P256,25,45754.0
ECDSA-P256,26,54871.0
ECDSA-P256,27,69874.0
ECDSA-P256,28,47007.0
ECDSA-P256,29,50560.0
ECDSA-P256,30,54204.0
ECDSA-P256,31,97189.0
ECDSA-P256,32,47376.0
ECDSA-P256,33,74539.0
ECDSA-P256,34,44101.0
ECDSA-P256,35,50839.0
ECDSA-P256,36,42749.0
ECDSA-P256,37,44791.0
ECDSA-P256,38,45491.0
ECDSA-P256,39,57256.0
ECDSA-P256,40,44609.0
ECDSA-P256,41,64965.0
ECDSA-P256,42,67158.0
ECDSA-P256,43,55190.0
ECDSA-P256,44,44588.0
ECDSA-P256,45,60524.0
ECDSA-P256,46,56193.0
ECDSA-P256,47,49138.0
ECDSA-P256,48,47853.0
ECDSA-P256,49,53663.0
ECDSA-P256,50,50172.0
ECDSA-P256,51,45948.0
ECDSA-P256,52,90145.0
ECDSA-P256,53,44777.0
ECDSA-P256,54,50881.0
ECDSA-P256,55,80850.0
ECDSA-P256,56,46851.0
ECDSA-P256,57,64081.0
ECDSA-P256,58,51716.0
ECDSA-P256,59,56885.0
ECDSA-P256,60,53160.0
ECDSA-P256,61,82331.0
ECDSA-P256,62,83760.0
ECDSA-P256,63,55822.0
ECDSA-P256,64,61086.0
ECDSA-P256,65,49464.0
ECDSA-P256,66,62929.0
ECDSA-P256,67,49705.0
ECDSA-P256,68,52262.0
ECDSA-P256,69,46172.0
ECDSA-P256,70,49765.0
ECDSA-P256,71,68310.0
ECDSA-P256,72,40587.0
ECDSA-P256,73,47820.0
ECDSA-P256,74,51554.0
ECDSA-P256,75,45753.0
ECDSA-P256,76,52003.0
ECDSA-P256,77,51384.0
ECDSA-P256,78,40847.0
ECDSA-P256,79,49134.0
ECDSA-P256,80,43816.0
ECDSA-P256,81,51736.0
ECDSA-P256,82,71396.0
ECDSA-P256,83,72777.0
ECDSA-P256,84,56836.0
ECDSA-P256,85,69612.0
ECDSA-P256,86,54158.0
ECDSA-P256,87,74348.0
ECDSA-P256,88,70936.0
ECDSA-P256,89,68723.0
ECDSA-P256,90,97054.0
ECDSA-P256,91,59231.0
ECDSA-P256,92,65587.0
ECDSA-P256,93,76875.0
ECDSA-P256,94,90864.0
ECDSA-P256,95,72252.0
ECDSA-P256,96,64775.0
ECDSA-P256,97,58528.0
ECDSA-P256,98,167015.0
ECDSA-P256,99,97256.0
ML-DSA-44,0,169109.0
ML-DSA-44,1,139076.0
ML-DSA-44,2,95981.0
ML-DSA-44,3,72613.0
ML-DSA-44,4,130865.0
ML-DSA-44,5,195514.0
ML-DSA-44,6,88641.0
ML-DSA-44,7,92391.0
ML-DSA-44,8,115369.0
ML-DSA-44,9,103071.0
ML-DSA-44,10,165125.0
ML-DSA-44,11,74125.0
ML-DSA-44,12,92188.0
ML-DSA-44,13,118782.0
ML-DSA-44,14,53799.0
ML-DSA-44,15,49453.0
ML-DSA-44,16,92070.0
ML-DSA-44,17,144703.0
ML-DSA-44,18,184478.0
ML-DSA-44,19,70835.0
ML-DSA-44,20,106918.0
ML-DSA-44,21,66356.0
ML-DSA-44,22,85457.0
ML-DSA-44,23,78971.0
ML-DSA-44,24,241452.0
ML-DSA-44,25,67319.0
ML-DSA-44,26,94163.0
ML-DSA-44,27,452273.0
ML-DSA-44,28,115584.0
ML-DSA-44,29,80339.0
ML-DSA-44,30,175586.0
ML-DSA-44,31,174448.0
ML-DSA-44,32,92294.0
ML-DSA-44,33,274405.0
ML-DSA-44,34,389972.0
ML-DSA-44,35,88890.0
ML-DSA-44,36,168067.0
ML-DSA-44,37,239314.0
ML-DSA-44,38,185755.0
ML-DSA-44,39,88850.0
ML-DSA-44,40,110621.0
ML-DSA-44,41,116984.0
ML-DSA-44,42,168151.0
ML-DSA-44,43,129012.0
ML-DSA-44,44,209715.0
ML-DSA-44,45,151813.0
ML-DSA-44,46,91144.0
